k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F
1.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,20000,0.35187819600105286,459.6112365722656,0.9560060821084643,0.01
1.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,25000,0.2124955803155899,426.0679626464844,1.0,0.01
3.0,0.0251,100.0,2000.0,0.03,0,1,nan,nan,nan,100.0
3.0,0.0251,100.0,2000.0,0.03,0,5000,nan,nan,nan,100.0
3.0,0.0251,100.0,2000.0,0.03,0,10000,nan,nan,nan,100.0
3.0,0.0251,100.0,2000.0,0.03,0,15000,nan,nan,nan,100.0
3.0,0.0251,100.0,2000.0,0.03,0,20000,nan,nan,nan,100.0
3.0,0.0251,100.0,2000.0,0.03,0,25000,nan,nan,nan,100.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,1.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,1.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,1.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,1.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,1.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,1.0
1.0,0.0251,0.3981,7.962,7.535795026375283,0,1,0.016409920528531075,457.101806640625,0.26995043997168,0.1
1.0,0.0251,0.3981,7.962,7.535795026375283,0,5000,0.32955893874168396,427.58074951171875,0.5165368665924952,0.1
1.0,0.0251,0.3981,7.962,7.535795026375283,0,10000,0.2828180193901062,431.886962890625,0.669262668150096,0.1
1.0,0.0251,0.3981,7.962,7.535795026375283,0,15000,0.403621107339859,443.42041015625,0.8755942146252655,0.1
1.0,0.0251,0.3981,7.962,7.535795026375283,0,20000,0.26049578189849854,425.5836181640625,0.9459896834226762,0.1
1.0,0.0251,0.3981,7.962,7.535795026375283,0,25000,0.2750875651836395,427.427978515625,1.0,0.1
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,10.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,10.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,10.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,10.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,10.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,10.0
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,1.0
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,1.0
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,1.0
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,1.0
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,1.0
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,1.0
3.0,0.3981,100.0,2000.0,0.03,0,1,nan,nan,nan,100.0
3.0,0.3981,100.0,2000.0,0.03,0,5000,nan,nan,nan,100.0
3.0,0.3981,100.0,2000.0,0.03,0,10000,nan,nan,nan,100.0
3.0,0.3981,100.0,2000.0,0.03,0,15000,nan,nan,nan,100.0
3.0,0.3981,100.0,2000.0,0.03,0,20000,nan,nan,nan,100.0
3.0,0.3981,100.0,2000.0,0.03,0,25000,nan,nan,nan,100.0
3.0,0.3981,0.3981,7.962,7.535795026375283,0,1,0.031418029218912125,456.894775390625,0.518043778347466,1.0
3.0,0.3981,0.3981,7.962,7.535795026375283,0,5000,0.20268367230892181,373.9107971191406,1.0,1.0
