k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff
3.0,0.15850000083446503,100.0,2000.0,0.0,300.0,20000,nan,486.0784912109375,1.0
3.0,0.15850000083446503,100.0,2000.0,0.0,300.0,25000,nan,486.0784912109375,1.0
3.0,1.0,100.0,2000.0,0.0,200.0,1,nan,486.0784912109375,1.0
3.0,1.0,100.0,2000.0,0.0,200.0,5000,nan,486.0784912109375,1.0
3.0,1.0,100.0,2000.0,0.0,200.0,10000,nan,486.0784912109375,1.0
3.0,1.0,100.0,2000.0,0.0,200.0,15000,nan,486.0784912109375,1.0
3.0,1.0,100.0,2000.0,0.0,200.0,20000,nan,486.0784912109375,1.0
3.0,1.0,100.0,2000.0,0.0,200.0,25000,nan,486.0784912109375,1.0
3.0,0.009999999776482582,15.848999999999984,316.9799999999997,0.18928639030000016,150.0,1,0.015593954361975193,456.30181884765625,0.30388895262131466
3.0,0.009999999776482582,15.848999999999984,316.9799999999997,0.18928639030000016,150.0,5000,0.2668423056602478,543.8890380859375,0.567741195365378
3.0,0.009999999776482582,15.848999999999984,316.9799999999997,0.18928639030000016,150.0,10000,0.13762983679771423,528.9473266601562,0.7148101411035906
3.0,0.009999999776482582,15.848999999999984,316.9799999999997,0.18928639030000016,150.0,15000,0.1479891836643219,525.2578735351562,0.7946541241252725
3.0,0.009999999776482582,15.848999999999984,316.9799999999997,0.18928639030000016,150.0,20000,0.10215496271848679,489.0307922363281,0.8816106458644029
3.0,0.009999999776482582,15.848999999999984,316.9799999999997,0.18928639030000016,150.0,25000,0.1282552033662796,480.18865966796875,1.0
3.0,0.39809998869895935,100.0,2000.0,0.0,50.0,1,nan,486.0784912109375,1.0
3.0,0.39809998869895935,100.0,2000.0,0.0,50.0,5000,nan,486.0784912109375,1.0
3.0,0.39809998869895935,100.0,2000.0,0.0,50.0,10000,nan,486.0784912109375,1.0
3.0,0.39809998869895935,100.0,2000.0,0.0,50.0,15000,nan,486.0784912109375,1.0
3.0,0.39809998869895935,100.0,2000.0,0.0,50.0,20000,nan,486.0784912109375,1.0
3.0,0.39809998869895935,100.0,2000.0,0.0,50.0,25000,nan,486.0784912109375,1.0
