# k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.000000000000000000e+00,9.999999776482582092e-03,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,1.500000000000000000e+04,1.617034673690795898e-01,5.334218139648437500e+02,7.927286841764782377e-01,0.000000000000000000e+00,4.090459762065870031e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+04,1.175229400396347046e-01,5.059251098632812500e+02,8.980463190580928456e-01,0.000000000000000000e+00,5.355500919534436299e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,2.500000000000000000e+04,6.987598538398742676e-02,4.799028015136718750e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.625106287594259236e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,1.000000000000000000e+00,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,5.000000000000000000e+03,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,1.000000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,1.500000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,2.000000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,2.500000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+02,1.000000000000000000e+00,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+02,5.000000000000000000e+03,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+02,1.000000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+02,1.500000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+02,2.000000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+02,2.500000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,1.500000000000000000e+02,1.000000000000000000e+00,1.559395436197519302e-02,4.563018188476562500e+02,3.038889526213146564e-01,0.000000000000000000e+00,2.237918906750690370e-05
3.000000000000000000e+00,9.999999776482582092e-03,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,1.500000000000000000e+02,5.000000000000000000e+03,2.668423056602478027e-01,5.438890380859375000e+02,5.677411953653780374e-01,0.000000000000000000e+00,3.118671260999103523e-01
3.000000000000000000e+00,9.999999776482582092e-03,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,1.500000000000000000e+02,1.000000000000000000e+04,1.376298367977142334e-01,5.289473266601562500e+02,7.148101411035906461e-01,0.000000000000000000e+00,4.479582993163836235e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,1.500000000000000000e+02,1.500000000000000000e+04,1.479891836643218994e-01,5.252578735351562500e+02,7.946541241252724763e-01,0.000000000000000000e+00,6.273585172030404777e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,1.500000000000000000e+02,2.000000000000000000e+04,1.021549627184867859e-01,4.890307922363281250e+02,8.816106458644028532e-01,0.000000000000000000e+00,5.107875087180472562e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,1.500000000000000000e+02,2.500000000000000000e+04,1.282552033662796021e-01,4.801886596679687500e+02,1.000000000000000000e+00,0.000000000000000000e+00,4.668714216030711128e+00
3.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+00,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+03,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+01,1.500000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+01,2.500000000000000000e+04,nan,4.860784912109375000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.980999886989593506e-01,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.000000000000000000e+02,1.000000000000000000e+00,3.230788186192512512e-02,4.585191955566406250e+02,5.208946439081812985e-01,0.000000000000000000e+00,1.193060241771434001e-04
