k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.0,0.06,0.55,11.0,5.454545454545454,0,20000,0.18779875338077545,428.6988220214844,0.9576666246692705,0.19,7.256831474097675
3.0,0.06,0.55,11.0,5.454545454545454,0,25000,0.1350632905960083,417.4371337890625,1.0,0.19,8.101990554537533
3.0,0.06,0.55,11.0,5.454545454545454,0,1,nan,nan,nan,0.19,nan
3.0,0.25,0.55,11.0,5.454545454545454,0,5000,0.26365938782691956,375.6147155761719,1.0,1.2,2.9999962319994524
3.0,0.25,0.55,11.0,5.454545454545454,0,10000,0.30142271518707275,402.7881774902344,0.8776961365252429,1.2,5.718370090141891
3.0,0.25,0.55,11.0,5.454545454545454,0,15000,0.18407469987869263,420.4349670410156,0.8122777909457217,1.2,7.37444615045388
3.0,0.25,0.55,11.0,5.454545454545454,0,20000,0.13831868767738342,433.4297790527344,0.7890495378051671,1.2,8.461849621855741
3.0,0.25,0.55,11.0,5.454545454545454,0,25000,0.07635580003261566,442.391845703125,0.8160701588054041,1.2,9.123295396127034
3.0,0.25,0.55,11.0,5.454545454545454,0,1,nan,nan,nan,1.2,nan
3.0,0.5,0.55,11.0,5.454545454545454,0,5000,0.23733702301979065,378.1542663574219,1.0,0.48,2.53507684128866
3.0,0.5,0.55,11.0,5.454545454545454,0,10000,0.25619298219680786,412.9212951660156,0.7427979664846545,0.48,4.260154009773667
3.0,0.5,0.55,11.0,5.454545454545454,0,15000,0.11674124002456665,428.89788818359375,0.6373564300508379,0.48,4.913588568775166
3.0,0.5,0.55,11.0,5.454545454545454,0,20000,0.09773071110248566,439.1461486816406,0.5722086236113726,0.48,5.119507305775952
3.0,0.5,0.55,11.0,5.454545454545454,0,25000,0.0591496042907238,444.9173889160156,0.5394464319337224,0.48,5.140442964401121
3.0,0.5,0.55,11.0,5.454545454545454,0,1,nan,nan,nan,0.48,nan
3.0,0.5,0.18,3.5999999999999996,16.666666666666668,0,5000,0.29422375559806824,378.5322570800781,1.0,0.08,2.753874000104876
3.0,0.5,0.18,3.5999999999999996,16.666666666666668,0,10000,0.24528133869171143,409.0572814941406,0.7300701817527443,0.08,4.902896863667222
3.0,0.5,0.18,3.5999999999999996,16.666666666666668,0,15000,0.16848152875900269,425.2886047363281,0.6390138563973367,0.08,5.9650467916021075
3.0,0.5,0.18,3.5999999999999996,16.666666666666668,0,20000,0.10945094376802444,436.86065673828125,0.5846679863235559,0.08,6.4502613735078524
3.0,0.5,0.18,3.5999999999999996,16.666666666666668,0,25000,0.06524895131587982,444.49072265625,0.5403994961310059,0.08,6.669559738596885
3.0,0.5,0.18,3.5999999999999996,16.666666666666668,0,1,nan,nan,nan,0.08,nan
3.0,0.5,0.06,1.2,50.0,0,5000,0.20995073020458221,384.5809020996094,1.0,0.48,1.5822352524537304
3.0,0.5,0.06,1.2,50.0,0,10000,0.2830383777618408,405.9657897949219,0.7321708805579773,0.48,3.4336776055327167
3.0,0.5,0.06,1.2,50.0,0,15000,0.1692097783088684,421.30157470703125,0.6390584132519617,0.48,4.9932138248493
3.0,0.5,0.06,1.2,50.0,0,20000,0.1262473165988922,431.5422668457031,0.579075850043592,0.48,6.142152240370618
3.0,0.5,0.06,1.2,50.0,0,25000,0.09573899954557419,439.2218933105469,0.5393199651264168,0.48,6.950156055097092
3.0,0.5,0.06,1.2,50.0,0,1,nan,nan,nan,0.48,nan
3.0,0.06,0.06,1.2,50.0,0,5000,0.1506677269935608,409.1591491699219,0.4580047565402428,0.03,1.4413159282731762
3.0,0.06,0.06,1.2,50.0,0,10000,0.19117704033851624,404.6597900390625,0.7639253974214545,0.03,2.8925897365941835
3.0,0.06,0.06,1.2,50.0,0,15000,0.23016223311424255,407.17413330078125,0.8966078357741896,0.03,5.267368775583217
3.0,0.06,0.06,1.2,50.0,0,20000,0.32233789563179016,415.83563232421875,0.9561897609212667,0.03,8.213357093674025
3.0,0.06,0.06,1.2,50.0,0,25000,0.21426455676555634,432.4350280761719,1.0,0.03,11.292576369596972
